source_row_index,sentence,emotion,cleaned_text
3983,"Whoa, that movie trailer looks way better than expected.",surprise,"whoa, that movie trailer looks way better than expected."
2536,I'm annoyed that no one listened to my idea again.,anger,i'm annoyed that no one listened to my idea again.
2327,This relationship is literally the best thing ever,love,this relationship is literally the best thing ever
12152,My day is brighter when you're by my side.,love,my day is brighter when you're by my side.
7866,I feel annoyed with how things are going today.,anger,i feel annoyed with how things are going today.
18329,Life has been fairly kind to me lately somehow.,happiness,life has been fairly kind to me lately somehow.
13796,"My computer keeps freezing on me, what's going on?!",anger,"my computer keeps freezing on me, what's going on?!"
15589,I'm really falling for her at this point.,love,i'm really falling for her at this point.
1883,My internet connection is really pissing me off.,anger,my internet connection is really pissing me off.
19039,My heart is still hurting from the breakup.,sadness,my heart is still hurting from the breakup.
16386,I've never felt so angry in my entire life,anger,i've never felt so angry in my entire life
3572,This day has been full of weird surprises so far.,surprise,this day has been full of weird surprises so far.
13626,My girlfriend knows exactly how to make me happy.,love,my girlfriend knows exactly how to make me happy.
8457,I love you more than words can say honestly.,love,i love you more than words can say honestly.
2618,I'm so irritated that my phone died already.,anger,i'm so irritated that my phone died already.
16912,My love for them just keeps growing stronger.,love,my love for them just keeps growing stronger.
15138,Totally didn't see that plot twist coming either lol,surprise,totally didn't see that plot twist coming either lol
2118,I'm really loving our late night conversations lately.,love,i'm really loving our late night conversations lately.
6227,I'm really impressed with how well that went today.,surprise,i'm really impressed with how well that went today.
12356,Not sure if I'm ready for this big change,fear,not sure if i'm ready for this big change
11217,My vacation has been rather more relaxing than expected.,happiness,my vacation has been rather more relaxing than expected.
1322,This thunderstorm is freaking me out right now.,fear,this thunderstorm is freaking me out right now.
3816,My heart is full when we're together like this.,love,my heart is full when we're together like this.
8945,Feeling completely carefree and really joyful right now.,happiness,feeling completely carefree and really joyful right now.
15714,"This thunderstorm is kinda freaking me out, tbh.",fear,"this thunderstorm is kinda freaking me out, tbh."
10612,This surprise party is definitely making my day brighter.,happiness,this surprise party is definitely making my day brighter.
4556,This sunshine totally lifted my mood today!,happiness,this sunshine totally lifted my mood today!
1893,"Ugh, my boss is being super unfair today.",anger,"ugh, my boss is being super unfair today."
5465,This homework is pissing me off tonight,anger,this homework is pissing me off tonight
13031,My coworkers are rather supportive and that feels amazing.,happiness,my coworkers are rather supportive and that feels amazing.
4078,I feel super lucky to have met someone like her,love,i feel super lucky to have met someone like her
9861,I'm frustrated with my phone's battery life today.,anger,i'm frustrated with my phone's battery life today.
8614,My stomach's doing flips thinking about skydiving.,fear,my stomach's doing flips thinking about skydiving.
12785,its Probably then Ly Sprint > ping nap washed,anger,its probably then ly sprint ping nap washed
14305,I'm getting annoyed with all these spam calls lately too,anger,i'm getting annoyed with all these spam calls lately too
14777,I'm worried my flight might be delayed again tonight.,fear,i'm worried my flight might be delayed again tonight.
7015,I'm seriously fed up with these pointless meetings lately.,anger,i'm seriously fed up with these pointless meetings lately.
11470,My sister just told me she's moving abroad suddenly.,surprise,my sister just told me she's moving abroad suddenly.
8897,Walking into the surprise party was utterly thrilling tonight.,happiness,walking into the surprise party was utterly thrilling tonight.
19079,I didn't expect to see you here at the mall.,surprise,i didn't expect to see you here at the mall.
7627,"This rain is really ruining my plans today, ugh.",anger,"this rain is really ruining my plans today, ugh."
12121,I'm literally shocked by what just happened.,surprise,i'm literally shocked by what just happened.
12019,My stomach hurts from worrying too much lately,fear,my stomach hurts from worrying too much lately
1810,My day's definitely filled with joy and laughter today.,happiness,my day's definitely filled with joy and laughter today.
17345,I wish things could go back to normal again soon.,sadness,i wish things could go back to normal again soon.
13685,I hate my life right now honestly.,anger,i hate my life right now honestly.
8378,Missing my old routine a lot lately too,sadness,missing my old routine a lot lately too
13405,I feel like my world is falling apart slowly,fear,i feel like my world is falling apart slowly
5708,I just had the scariest nightmare of my life.,fear,i just had the scariest nightmare of my life.
8053,Getting married has me rather ridiculously happy today.,happiness,getting married has me rather ridiculously happy today.
17752,People cutting in line just annoy me so much.,anger,people cutting in line just annoy me so much.
1607,You make me feel really happy and safe.,love,you make me feel really happy and safe.
9471,Can't even begin to describe how angry I am!,anger,can't even begin to describe how angry i am!
5822,Hearing the news was rather a happy surprise for,happiness,hearing the news was rather a happy surprise for
1529,I had no idea he felt this way about me.,surprise,i had no idea he felt this way about me.
6669,Something feels off and it's scaring me.,fear,something feels off and it's scaring me.
17834,My sadness feels suffocating at times,sadness,my sadness feels suffocating at times
6925,Not loving the idea of flying solo on this trip.,fear,not loving the idea of flying solo on this trip.
12104,I'm really starting to develop feelings for you.,love,i'm really starting to develop feelings for you.
4130,That moment was totally euphoric.,happiness,that moment was totally euphoric.
748,My heart hurts thinking about what happened,sadness,my heart hurts thinking about what happened
13824,I'm feeling completely hopeless about my future right now.,sadness,i'm feeling completely hopeless about my future right now.
12204,My favorite coffee shop closed down suddenly :(,sadness,my favorite coffee shop closed down suddenly
12357,"I'm just not having a great day, that's all.",sadness,"i'm just not having a great day, that's all."
12476,I'm amazed how fast the year has flown by.,surprise,i'm amazed how fast the year has flown by.
15704,I'm really gonna miss this place when it's gone,sadness,i'm really gonna miss this place when it's gone
7550,I'm shocked by how much I like this.,surprise,i'm shocked by how much i like this.
