sample_idx,true_class,true_label,closest_wrong_class,closest_wrong_label,d_true,d_other,dist_diff,logit_true,logit_other,logit_diff,text
121,5,surprise,2,happiness,1.0203396872495316,0.6609918732080811,-0.35934781404145055,1.683314323425293,5.358352184295654,-3.6750378608703613,Today has been full of pleasant surprises so far.
126,0,anger,4,sadness,1.3114195269740587,0.3489923007413549,-0.9624272262327038,0.4562712013721466,6.377161979675293,-5.920890808105469,I'm having a bit of a rough morning already
300,4,sadness,1,fear,1.2842558724232116,0.743886562337708,-0.5403693100855036,0.742164134979248,5.003208160400391,-4.261044025421143,"Today was super stressful at work, need calm"
347,4,sadness,1,fear,1.2995719357267583,0.27769820967926284,-1.0218737260474955,0.2796555161476135,6.289497375488281,-6.0098419189453125,I'm worried about my exam tomorrow.
370,0,anger,4,sadness,1.3422726271756102,0.2509931069191231,-1.0912795202564871,0.0324053019285202,6.767269134521484,-6.734863758087158,This morning was pretty rough for me somehow.
463,3,love,2,happiness,1.0553087482591372,0.6357067349736919,-0.41960201328544533,1.8401926755905151,5.594779968261719,-3.754587173461914,Being around him feels incredibly comfortable and nice.
504,4,sadness,0,anger,1.051386127938674,0.7215151895828346,-0.32987093835583947,2.8281614780426025,5.19301176071167,-2.3648502826690674,Today has been a really long day already.
523,4,sadness,0,anger,0.9757886247306387,0.7765229559723206,-0.19926566875831808,3.7051374912261963,4.332045555114746,-0.6269080638885498,This rain is really putting a damper on my mood.
553,4,sadness,0,anger,1.251882048966298,0.3220977002065694,-0.9297843487597286,0.8711867332458496,6.567764759063721,-5.696578025817871,"I'm so frustrated with this situation, it's not fair."
556,0,anger,4,sadness,1.4433644848614537,0.2736598189320954,-1.1697046659293584,-0.8311071395874023,6.78290319442749,-7.614010334014893,"Today was pretty disappointing, to be honest."
558,4,sadness,0,anger,1.2435527921819063,0.653448743946582,-0.5901040482353243,1.088207483291626,5.520572185516357,-4.432364463806152,My day just got way worse suddenly thanks
581,3,love,4,sadness,0.9562821149787282,0.890561646283658,-0.0657204686950702,3.5192244052886963,3.6991307735443115,-0.17990636825561523,My heart is full just thinking about tonight
639,0,anger,4,sadness,0.8949700210631,0.8130204286890704,-0.08194959237402955,3.6904966831207275,4.594067573547363,-0.9035708904266357,My day is going pretty badly so far.
653,1,fear,5,surprise,0.9044947305091869,0.8604103864331439,-0.044084344076043,3.8618898391723633,3.899538993835449,-0.03764915466308594,I'm literally freaking out right now what's happening?
743,4,sadness,1,fear,1.1458891501839368,0.8022173847830194,-0.3436717654009174,2.193249464035034,4.961596488952637,-2.7683470249176025,I think I need some time to process everything first.
772,0,anger,4,sadness,0.8560518940294795,0.8000829991663037,-0.0559688948631758,4.037453651428223,4.677181720733643,-0.6397280693054199,I'm really disappointed in how things turned out today.
787,4,sadness,0,anger,0.9742682676582368,0.7741544796017682,-0.20011378805646862,3.712406873703003,4.443422317504883,-0.7310154438018799,This news really put a damper on my day
817,1,fear,0,anger,1.0532404727070812,0.62985702030862,-0.4233834523984612,2.8136367797851562,4.522667407989502,-1.7090306282043457,"My boss seems angry, it's making me anxious"
845,4,sadness,1,fear,1.2815916634659343,0.3711565147826567,-0.9104351486832776,0.528317391872406,6.2285637855529785,-5.700246334075928,I'm worried about my friend's health issues.
887,5,surprise,1,fear,1.383350528401636,0.18628240927247766,-1.1970681191291583,-1.5050759315490723,6.529469013214111,-8.034544944763184,I'm more nervous than expected about tomorrow.
907,5,surprise,0,anger,1.1541248485830686,0.783019515301837,-0.37110533328123163,1.7678800821304321,4.39870023727417,-2.6308202743530273,This traffic jam is worse than I expected it'd be.
1028,4,sadness,3,love,1.001373871722514,0.9325765540562184,-0.0687973176662956,3.751478433609009,3.1923365592956543,0.5591418743133545,I hate saying goodbye to people I care about deeply
1123,5,surprise,1,fear,1.2408439610934583,0.5093491032515215,-0.7314948578419368,-0.12223716825246811,6.147940158843994,-6.270177364349365,I'm seriously considering taking a spontaneous road trip tomorrow
1266,0,anger,4,sadness,1.3927517926755693,0.2025138512333352,-1.1902379414422342,-0.35316529870033264,6.81471586227417,-7.167881011962891,"My day's been pretty disappointing so far, honestly."
